feature,importance
Contract_Two year,0.4458293
Contract_One year,0.24244837
InternetService_Fiber optic,0.17368287
tenure,0.09803605
PaymentMethod_Electronic check,0.08006766
PaperlessBilling,0.07759133
contract_tenure_ratio,0.060056634
StreamingMovies_Yes,0.050962437
charges_per_tenure,0.042148143
OnlineSecurity_Yes,0.04178951
MonthlyCharges,0.027811086
TotalCharges,0.026706822
InternetService_No,0.025126932
Dependents,0.01740642
OnlineBackup_Yes,0.0130277965
Partner,0.009877674
MultipleLines_Yes,0.009574478
TechSupport_Yes,0.009369281
PhoneService,0.009259854
payment_risk_score,0.00845168
total_services,0.007818357
SeniorCitizen,0.0067459084
monthly_charges_category_Medium,0.0037030855
StreamingTV_Yes,0.0034795816
tenure_group_4-5yr,0.003393748
tenure_group_2-3yr,0.003233226
DeviceProtection_Yes,0.0028863878
has_premium_services,0.0028860876
tenure_group_5-6yr,0.0011369473
PaymentMethod_Mailed check,0.00096094137
monthly_charges_category_Very High,0.0009322731
PaymentMethod_Credit card (automatic),0.0008585745
tenure_group_1-2yr,0.0007966618
monthly_charges_category_High,0.0002911905
tenure_group_3-4yr,0.00023915395
gender,0.0
